biome * ffffff ffffff ffffff
block 43 11 ff7f7f7f
block 43 12 ff966153
block 43 13 ff7a797a
block 43 14 ff2c161a
block 43 15 ffebe5de
block 44 * ff9e9e9e
block 44 1 ffdad29e
block 44 2 ffa2824e
block 44 3 ff7f7f7f
block 44 4 ff966153
block 44 5 ff7a797a
block 44 6 ff2c161a
block 44 7 ffebe5de
block 44 9 ffdad29e
block 44 10 ffa2824e
block 44 11 ff7f7f7f
block 44 12 ff966153
block 44 13 ff7a797a
block 44 14 ff2c161a
block 44 15 ffebe5de
block 45 * ff966153
block 46 * ff82412f
block 47 * ffa2824e
block 48 * ff6e765e
block 49 * ff0f0a18
block 50 * 13826a3a
block 51 * 82d5903f
block 52 * af242e3e
block 53 * ffa2824e
block 54 * ffa2824e
block 55 * 35efefef
block 56 * ff7d8e8c
block 57 * ff62ede4
block 58 * ff77492a
block 59 * a6566607
block 59 0 0500b312
block 59 1 1312ac0f
block 59 2 2b1c890b
block 59 3 4d258b08
block 59 4 672e8007
block 59 5 80427b07
block 59 6 8e507607
block 60 * ff4b280d
block 60 0 ff734b2d
block 61 * ff6e6d6d
block 62 * ff6e6d6d
block 63 * ffa2824e
block 64 * ff8a6c3e
block 65 * 8f7c6036
block 66 * 6b786b56
block 66 0 8f796c58
block 66 1 8f796c58
block 66 2 8f796c58
block 66 3 8f796c58
block 66 4 8f796c58
block 66 5 8f796c58
block 67 * ff7f7f7f
block 68 * ffa2824e
block 69 * 136a5940
block 70 * ff7d7d7d
block 71 * ffa3a3a3
block 72 * ffa2824e
block 73 * ff846b6b
block 74 * ff846b6b
block 75 * 135d3e26
block 76 * 19a74b29
block 77 * ff7d7d7d
block 78 * ffeffbfb
block 79 * 9f7dadff
block 80 * ffeffbfb
block 81 * c3557f2b
block 82 * ff9ea4b0
block 83 * 8c94c065
block 84 * ff6b4937
block 85 * ffa2824e
block 86 * ffc07615
block 87 * ff612626
block 88 * ff513e32
block 89 * ffab8354
block 90 * bf5b0cc1
block 91 * ffc07615
block 92 * c3e4cdce
block 93 * ff979393
block 94 * ffa09393
block 95 0 7bffffff
block 95 1 7bd87e32
block 95 2 7bb24bd8
block 95 3 7b6599d8
block 95 4 7be4e432
block 95 5 7b7ecb18
block 95 6 7bf17ea4
block 95 7 7b4b4b4b
block 95 8 7b999999
block 95 9 7b4b7e99
block 95 10 7b7e3eb2
block 95 11 7b324bb2
block 95 12 7b654b32
block 95 13 7b657e32
block 95 14 7b993232
block 95 15 7b181818
block 96 * db7e5d2d
block 97 * ff7d7d7d
block 97 1 ff7f7f7f
block 97 2 ff7a797a
block 97 3 ff737969
block 97 4 ff767576
block 97 5 ff777677
block 98 * ff7a797a
block 98 1 ff737969
block 98 2 ff767576
block 98 3 ff777677
block 99 * ff8d6a53
block 99 0 ffcaab78
block 99 10 ffcaab78
block 99 11 ffcaab78
block 99 12 ffcaab78
block 99 13 ffcaab78
block 99 15 ffcfccc2
block 100 * ffb62524
block 100 0 ffcaab78
block 100 10 ffcaab78
block 100 11 ffcaab78
block 100 12 ffcaab78
block 100 13 ffcaab78
block 100 15 ffcfccc2
block 101 * 73888b87
block 102 * 40afd5db
block 103 * ff979924
block 104 0 22009900
block 104 1 22139402
block 104 2 22268f04
block 104 3 22398a07
block 104 4 224c8509
block 104 5 2260810c
block 104 6 22737c0e
block 104 7 22867710
block 104 8 22007213
block 104 9 22136d15
block 104 10 22266918
block 104 11 2239641a
block 104 12 224c5f1c
block 104 13 22605a1f
block 104 14 22735521
block 104 15 22865124
block 105 0 22009900
block 105 1 22139402
block 105 2 22268f04
block 105 3 22398a07
block 105 4 224c8509
block 105 5 2260810c
block 105 6 22737c0e
block 105 7 22867710
block 105 8 22007213
block 105 9 22136d15
block 105 10 22266918
block 105 11 2239641a
block 105 12 224c5f1c
block 105 13 22605a1f
block 105 14 22735521
block 105 15 22865124
block 106 * 91747474
block 107 * ffa2824e
block 108 * ff966153
block 109 * ff7a797a
block 110 * ff6f6369
block 111 * 95104219
block 112 * ff2c161a
block 113 * ff2c161a
block 114 * ff2c161a
block 115 * cc6f1211
block 115 0 2a6a0e1e
block 115 1 786c0f16
block 115 2 786c0f16
block 116 * ff67403b
block 117 * 767c6751
block 118 * 6f454545
block 119 * bf5b0cc1
block 120 * ff597560
block 121 * ffdbde9e
block 122 * ff0c090f
block 123 * ff462b1a
block 124 * ff775937
block 125 * ffa2824e
block 125 1 ff725430
block 125 2 ffc0af79
block 125 3 ffa07350
block 125 4 ffa85a32
block 125 5 ff422b14
block 125 9 ff725430
block 125 10 ffc0af79
block 125 11 ffa07350
block 125 12 ffa85a32
block 125 13 ff422b14
block 126 * ffa2824e
block 126 1 ff725430
block 126 2 ffc0af79
block 126 3 ffa07350
block 126 4 ffa85a32
block 126 5 ff422b14
block 126 9 ff725430
block 126 10 ffc0af79
block 126 11 ffa07350
block 126 12 ffa85a32
block 126 13 ff422b14
block 127 * 8391501e
block 128 * ffdad29e
block 129 * ff75887c
block 130 * ff0f0a18
block 131 * 2d8a8171
block 132 * 08818181
block 133 * ff2acb57
block 134 * ff725430
block 135 * ffc0af79
block 136 * ffa07350
block 137 * ffb2896f
block 138 * ff74ddd7
block 139 * ff7f7f7f
block 139 1 ff6e765e
block 140 * 31764133
block 141 * 6f158002
block 141 0 0901ab10
block 141 1 0901ab10
block 141 2 1701bb0f
block 141 3 1701bb0f
block 141 4 3600be10
block 141 5 3600be10
block 141 6 3600be10
block 142 * 6922aa24
block 142 0 0901ab10
block 142 1 0901ab10
block 142 2 1701bb0f
block 142 3 1701bb0f
block 142 4 3600be10
block 142 5 3600be10
block 142 6 3600be10
block 143 * ffa2824e
block 144 * ff513e32
block 145 * 9f403c3c
block 146 * ffa2824e
block 147 * fff6d03d
block 148 * ffdcdcdc
block 149 * ffa59594
block 149 0 ff9c9695
block 149 1 ff9c9695
block 149 2 ff9c9695
block 149 3 ff9c9695
block 149 4 ff9c9695
block 149 5 ff9c9695
block 149 6 ff9c9695
block 149 7 ff9c9695
block 150 * ffa59594
block 151 * ff82745e
block 152 * ffab1b09
block 153 * ff75413e
block 154 * 6f454545
block 155 * ffebe5de
block 155 1 ffe7e4db
block 155 3 ffebe6e0
block 155 4 ffebe6e0
block 156 * ffebe5de
block 157 * 9b685347
block 157 8 9b8d5146
block 157 9 9b8d5146
block 157 10 9b8d5146
block 157 11 9b8d5146
block 157 12 9b8d5146
block 157 13 9b8d5146
block 157 14 9b8d5146
block 157 15 9b8d5146
block 158 * ff6e6d6d
block 158 1 ff565656
block 158 9 ff565656
block 159 0 ffd1b2a1
block 159 1 ffa15325
block 159 2 ff95586c
block 159 3 ff716c89
block 159 4 ffba8523
block 159 5 ff677534
block 159 6 ffa14e4e
block 159 7 ff392a23
block 159 8 ff876a61
block 159 9 ff565b5b
block 159 10 ff764656
block 159 11 ff4a3b5b
block 159 12 ff4d3323
block 159 13 ff4c532a
block 159 14 ff8f3d2e
block 159 15 ff251610
block 160 0 7bffffff
block 160 1 7bd87e32
block 160 2 7bb24bd8
block 160 3 7b6599d8
block 160 4 7be4e432
block 160 5 7b7ecb18
block 160 6 7bf17ea4
block 160 7 7b4b4b4b
block 160 8 7b999999
block 160 9 7b4b7e99
block 160 10 7b7e3eb2
block 160 11 7b324bb2
block 160 12 7b654b32
block 160 13 7b657e32
block 160 14 7b993232
block 160 15 7b181818
block 161 * 932a690d
block 161 1 b22a6a0e
block 161 5 b22a6a0e
block 161 9 b22a6a0e
block 161 13 b22a6a0e
block 162 * ff696359
block 162 0 ff9a5b40
block 162 1 ff4e3e29
block 162 2 ff9a5b40
block 162 3 ff4e3e29
block 162 5 ff342817
block 162 7 ff342817
block 162 9 ff342817
block 162 11 ff342817
block 162 13 ff342817
block 162 15 ff342817
block 163 * ffa85a32
block 164 * ff422b14
block 165 * ff23202c
block 166 * ff1a1921
block 167 * ff212029
block 168 * ff212029
block 169 * ff212029
block 170 * ffa68826
block 170 0 ffa58b0c
block 170 1 ffa58b0c
block 170 2 ffa58b0c
block 170 3 ffa58b0c
block 171 0 ffdddddd
block 171 1 ffdb7d3e
block 171 2 ffb350bc
block 171 3 ff6a8ac9
block 171 4 ffb1a627
block 171 5 ff41ae38
block 171 6 ffd08499
block 171 7 ff404040
block 171 8 ff9aa1a1
block 171 9 ff2e6e89
block 171 10 ff7e3db5
block 171 11 ff2e388d
block 171 12 ff4f321f
block 171 13 ff35461b
block 171 14 ff963430
block 171 15 ff191616
block 172 * ff965c42
block 173 * ff121212
block 174 * ffa5c2f5
block 175 * 3838871e
block 175 1 568e9484
block 175 2 ba808080
block 175 3 af838383
block 175 4 b2615325
block 175 5 8c56655d
block 176 * ff212029
block 177 * ff1a1921
block 178 * ff1a1921
block 179 * ff1b1346
block 180 * ff212029
block 181 * ff1a1921
block 182 * 9a191140
block 183 * ff0f0e0e
block 184 * 6b1a1430
block 185 * ff09170a
block 186 * ff0d1e0e
block 187 * ff0d1e0e
block 188 * ff0d1e0e
block 189 * ff0d1e0e
block 190 * ff4c6261
block 191 * ff746e7d
block 192 * ff0e1d0f
block 193 * ff1a1921
block 194 * ff300507
block 195 * ff47217c
block 196 * ff5e6669
block 197 * ff47217c
block 198 * ff9a7f54
block 199 * d809160a
block 200 * ff211f2c
block 201 * ff211f2c
block 202 * 8269ab69
block 203 * ff23202c
block 204 * ff23202c
block 205 * ff25211a
block 206 * ff25211a
block 207 * ff25211a
block 208 * ff25211a
block 209 * ff25211a
block 210 * ff25211a
block 211 * f507d1e7
block 212 * ff3c615c
block 213 * ff7f0000
block 214 * ff0b231a
block 215 * 616d5422
block 216 * ff09170a
block 217 * ff09170a
block 218 * ff22212a
block 219 * ff25211a
block 220 * ffa20000
block 221 * ff411a77
block 222 * ff940313
block 223 * ff970006
block 224 * ff530503
block 225 * ff2c0660
block 226 * ff480000
block 227 * ff680909
block 228 * 9a440000
block 229 * 6b6a0306
block 230 * ff590808
block 231 * e54f0047
block 232 * 82c95c5a
block 233 * 735c6769
block 234 * 735c685f
block 235 * 735c6769
block 236 * 73576163
block 237 * ff530503
block 238 * ff410704
block 239 * ff530503
block 240 * ff530503
block 241 * ff2c0660
block 242 * ff240949
block 243 * ff2c0660
block 244 * ff2c0660
block 245 * ffe9f2ef
block 246 * ff435956
block 247 * ff445856
block 248 * ff445856
block 249 * ff445856
block 250 * ff445856
block 251 * ff445856
block 252 * ff435956
block 253 * ff435956
block 254 * ff7f0000
block 255 * ff7f0000
block 409 * ff690808
block 410 * ff690808
block 411 * ff810000
block 412 * ff384e4b
block 413 * ff384e4b
block 414 * ff7f0000
block 415 * ff7f0000
block 416 * ff590808
block 423 * ff777571
block 424 * ff252b1c
block 425 * ff2c341a
block 426 * ff1e352d
block 427 * ff141e0f
block 428 * ff283328
block 429 * ff26210a
block 430 * ff163435
block 431 * ff092a1c
block 432 * ffd2530e
block 433 * ff8d9083
block 434 * ff9a9c8d
block 434 1 ff929385
block 435 * ff9c9e93
block 436 * ff9a9c8d
block 437 * ff9a9c8d
block 438 * ff9a9c8d
block 439 * ff9a9c8d
block 440 * ff91968a
block 441 * ff151a17
block 442 * e10d110b
block 443 * 824d564a
block 444 * 9f403c3c
block 445 * ff9a7f54
block 446 * ff818378
block 447 * ff2e2f26
block 447 1 ff262720
block 448 * ff32332b
block 449 * ff2e2f26
block 450 * ff2e2f26
block 451 * ff2e2f26
block 452 * ff2e2f26
block 453 * 9f403c3c
block 454 * 9f403c3c
block 455 * ff1d2520
block 456 * ff181f1c
block 457 * ff181f1c
block 458 * ff181f1c
block 459 * ff181f1c
block 460 * ff181f1c
block 461 * ff181f1c
block 462 * ff181f1c
block 463 * ff181f1c
block 464 * ff0e2c20
block 465 * ff181f1c
block 466 * 7f232a27
block 467 * ff181f1c
block 468 * 9f403c3c
block 469 * 9f403c3c
block 470 * ff7f0000
block 471 * ff7f0000
block 472 * 82d5903f
block 473 * ba831aa3
block 474 * 51831aa3
block 475 * ce94aaac
block 476 * e2200056
block 477 * b47b7b7b
block 477 0 ff797171
block 477 7 ff877c6a
block 477 15 aa51a394
block 478 * ff372b27
block 478 0 ff876c47
block 478 1 ffa49880
block 478 2 ffa49880
block 478 3 ff876c47
block 478 5 ffc0bcaa
block 478 6 ffb6b2a0
block 478 9 ffc0bcaa
block 478 10 ffb6b2a0
block 478 13 ffc0bcaa
block 478 14 ffb6b2a0
block 479 * 9a284474
block 479 0 9a21540b
block 479 2 9a21540b
block 479 4 9a21540b
block 479 6 9a21540b
block 479 8 9a21540b
block 479 10 9a21540b
block 479 12 9a21540b
block 479 14 9a21540b
block 480 0 6d324529
block 480 1 55517a9b
block 480 2 1941664c
block 480 3 2479663a
block 480 4 5f468a68
block 480 5 639f497a
block 481 * ff2d1939
block 481 1 ff382146
block 481 2 ffbc8878
block 482 0 8c34502d
block 482 1 212e3b2a
block 482 2 36353136
block 482 3 4d2f3f2a
block 482 4 932a3028
block 483 0 e8f1b761
block 483 1 e8ecaf5c
block 483 2 6d63625f
block 484 * ff464134
block 484 0 ff181323
block 484 1 ff181323
block 484 2 ff484a47
block 484 3 ff4a4747
block 484 4 ff403457
block 484 5 fff0d29e
block 484 6 ff4c4c4c
block 484 7 ff494949
block 484 8 ff181323
block 484 9 ff474747
block 484 10 ff654141
block 484 12 ff3a3f46
block 484 14 ff63583f
block 485 * b7848484
block 486 * 3c323232
block 486 4 5f48422e
block 486 5 3c444444
block 487 * ff393939
block 487 3 fe83633d
block 487 4 ffcda41e
block 487 7 5f9f8f48
block 487 8 5f49912a
block 487 9 ff423d38
block 487 10 ff423d38
block 487 11 ff423d38
block 487 12 ab453b2f
block 487 13 5f834363
block 487 15 ffcda41e
block 488 * ff3b2e25
block 488 0 ff453426
block 488 2 ff35292d
block 488 3 ff35292d
block 488 6 ff291c19
block 488 7 ffc7c1ae
block 489 * ff4c4c4c
block 489 0 ff414141
block 489 5 ff4f4a37
block 489 8 43838518
block 489 12 ffd5d1ca
block 490 * 43383838
block 490 0 53a97b17
block 490 1 53a97b17
block 490 2 53a97b17
block 490 3 53a97b17
block 490 4 53a97b17
block 490 5 53a97b17
block 491 * ff453426
block 492 * ff453426
block 493 * f7282025
block 494 * df352a26
block 495 * ff453426
block 496 * ff393939
block 497 * 2289a8ca
block 497 0 3b5b5b5e
block 497 1 3b5b5b5e
block 497 2 3b5b5b5e
block 497 3 3b414a5d
block 498 0 5fe3d3b4
block 498 1 5fdf7833
block 498 2 5fb94a9a
block 498 3 5f60789e
block 498 4 5fd2b61f
block 498 5 5f3db427
block 498 6 5fcc7172
block 498 7 5f3f3b32
block 498 8 5f978d78
block 498 9 5f256871
block 498 10 5f74298f
block 498 11 5f232b6d
block 498 12 5f4c2a13
block 498 13 5f374713
block 498 14 5fa92b21
block 498 15 5f1c1714
block 499 * ff181323
block 499 4 ff574d34
block 499 5 ff3c3729
block 499 6 ff18141d
block 499 7 ff18131e
block 499 8 ff161319
block 499 9 ff63583f
block 499 10 ff3c382d
block 501 * 1270602a
block 501 0 0a6c4e1e
block 501 1 0c6e642f
block 504 15 1d808080
block 506 * 3b647c96
block 508 * ff494949
block 509 * ff291c19
block 510 * ffc7c1ae
block 511 * ff464134
block 512 * ff3b2e25
block 512 0 ff291c19
block 512 1 ffc7c1ae
block 512 8 ff291c19
block 512 9 ffc7c1ae
block 513 0 ff494949
block 513 1 ff464134
block 513 8 ff494949
block 513 9 ff464134
block 514 * ff3b2e25
block 514 0 ff291c19
block 514 1 ffc7c1ae
block 514 8 ff291c19
block 514 9 ffc7c1ae
block 515 0 ff494949
block 515 1 ff464134
block 515 8 ff494949
block 515 9 ff464134
block 516 * 8f483429
block 517 * c33b312d
block 518 * 70375a72
block 519 * 706d6f70
block 520 * ff465965
block 521 * ff7b7671
block 522 * ff6c7377
block 523 * ff717175
block 524 * ff767979
block 525 * ff9e9f9f
block 526 * ff000000
block 527 * ff5a5b59
block 528 * 63b2aaa4
block 529 * 8e5e6163
block 530 * ff5d6264
block 531 * ff5d6264
block 532 * ff5d6264
block 533 * 933d3f40
block 534 * 5b445563
block 535 * 65686b6d
block 536 * 57615c5a
block 537 * 55888888
block 538 * ff969696
block 539 * ff7e7d7b
block 540 * ff7d7d7b
block 541 * 29adc2d7
block 542 * 29b1cce1
block 544 * ffd3ddf1
block 545 * ffcad5ed
block 546 * ffc6d2eb
block 547 * 05f3f5fb
block 548 * 05f3f5fb
block 549 * ffcbe8fa
block 550 * ff8336b1
block 551 * ff1b1c1c
block 551 1 ff484848
block 551 2 ff474747
block 551 3 ff444444
block 552 * ff1b1c1c
block 552 1 ff484848
block 552 2 ff474747
block 552 3 ff444444
block 553 * ffdcdcdc
block 554 * ff7b7b7b
block 555 * ffb8945e
block 556 * ff484848
block 557 * 0f7d7182
block 558 * ff484848
block 559 * ff82412f
block 560 * 9bbe7f0d
block 561 * ff464746
block 562 * 40636261
block 563 * 9b716f6b
block 564 * ff6e6b69
block 565 * 06e6eff9
block 566 * ff555555
block 567 * ff848381
block 568 * 9b514d46
block 569 * ff62615e
block 570 * ff526374
block 571 * ff777977
block 572 * ff9779af
block 573 * ff7c7a7a
block 574 * ff494949
block 575 * ff3a3142
block 576 * ff69768b
block 576 0 ff6f757f
block 576 1 ff6d7583
block 576 2 ff6b7686
block 576 4 ff68738e
block 576 5 ff666f92
block 576 6 ff656b97
block 576 7 ff666697
block 577 * ff745e8e
block 577 0 ff695f8e
block 577 1 ff6c5e8e
block 577 2 ff705e8e
block 577 4 ff775e8e
block 577 5 ff7b5e8e
block 577 6 ff7f5e8e
block 577 7 ff835e8e
block 578 * ff504f53
block 579 * ff757371
block 579 1 ff8a5794
block 579 8 ff6a6c6c
block 579 9 23ae00e1
block 580 * 2321f2dd
block 580 0 ff927a67
block 580 1 ff989555
block 580 2 ff6a9755
block 580 3 ff61978f
block 580 4 ff927a67
